Occupation,Salary Grade,Occupational Service Code,Occupational Group Code,Class ID
Conciliator-Mediator,25,07-SS,LCMA,CLTM
Construction and Maintenance Capataz,5,06-CT,BGHC,CMCZ
Construction and Maintenance Foreman,8,06-CT,BGHC,CMF
Construction and Maintenance General Foreman,11,06-CT,BGHC,CMGF
Construction and Maintenance Man,2,06-CT,BGHC,CMM
Construction Equipment Operator,4,06-CT,BGHC,CEOP
Contested Ballot Box Custodian I,8,07-SS,EAD,CBBC1
Contested Ballot Box Custodian II,10,07-SS,EAD,CBBC2
Cook I,3,17-MS,FOS,COK1
Cook II,5,17-MS,FOS,COK2
Cooperatives Development Specialist I,11,12-TT,CD,CODES1
Cooperatives Development Specialist II,15,12-TT,CD,CODES2
Copy Reader,7,08-IA,PF,CPYR
Copyright Examiner,11,12-TT,PTCE,CPYE
Core Driller I,3,06-CT,GUS,CODL1
Core Driller II,5,06-CT,GUS,CODL2
Corporate Governance Officer I,11,20-CM,CMA,CGO1
Corporate Governance Officer II,15,20-CM,CMA,CGO2
Corporate Governance Officer III,18,20-CM,CMA,CGO3
Corporate Governance Officer IV,22,20-CM,CMA,CGO4
Corporate Governance Officer V,24,20-CM,CMA,CGO5
Council Chairman I,28,18-ES,TMG,COUCH1
Council Chairman II,29,18-ES,TMG,COUCH2
Council Chairman III,30,18-ES,TMG,COUCH3
Council Chairman IV,31,18-ES,TMG,COUCH4
Council Member I,27,18-ES,TMG,COUME1
Council Member II,28,18-ES,TMG,COUME2
Council Member III,29,18-ES,TMG,COUME3
Council Member IV,30,18-ES,TMG,COUME4
Council/Commission/Board Chairman III,30,18-ES,TMG,CCBC3
Counsellor,26,16-FR,FS,CSLR
Court Administrator of the Supreme Court,30,15-LJ,JA,CASC
Court Attorney I,22,15-LJ,JA,CTAT1
Court Attorney II,23,15-LJ,JA,CTAT2
Court Attorney III,24,15-LJ,JA,CTAT3
Court Attorney IV,25,15-LJ,JA,CTAT4
Court Attorney V,26,15-LJ,JA,CTAT5
Court Attorney VI,27,15-LJ,JA,CTAT6
Court Legal Researcher I,12,15-LJ,JA,CLR1
Court Legal Researcher II,15,15-LJ,JA,CLR2
Court Legal Researcher III,18,15-LJ,JA,CLR3
Court of Appeals Reporter I,27,15-LJ,JA,CAR1
Court of Appeals Reporter II,28,15-LJ,JA,CAR2
Court Secretary I,14,01-GA,CBS,CSTR1
Court Secretary II,17,01-GA,CBS,CSTR2
Court Stenographer I,8,01-GA,CSET,CSTG1
Court Stenographer II,10,01-GA,CSET,CSTG2
Court Stenographer III,12,01-GA,CSET,CSTG3
Court Stenographer IV,14,01-GA,CSET,CSTG4
Coxswain,3,05-TC,MTS,COX
Crafts Education Demonstrator I,10,10-EL,ERPS,CEDD1
Crafts Education Demonstrator II,12,10-EL,ERPS,CEDD2
Creative Arts Specialist I,11,08-IA,I,CASL1
Creative Arts Specialist II,15,08-IA,I,CASL2
Creative Arts Specialist III,18,08-IA,I,CASL3
Creative Arts Specialist IV,22,08-IA,I,CASL4
Creative Arts Specialist V,24,08-IA,I,CASL5
Credit Officer I,9,02-FS,CC,CROF1
Credit Officer II,11,02-FS,CC,CROF2
Credit Officer III,15,02-FS,CC,CROF3
Credit Officer IV,18,02-FS,CC,CROF4
Crime Investigator I,11,14-DS,CI,CRIG1
Crime Investigator II,15,14-DS,CI,CRIG2
Crime Investigator III,18,14-DS,CI,CRIG3
Crime Investigator IV,22,14-DS,CI,CRIG4
Crime Investigator V,24,14-DS,CI,CRIG5
Cryptanalyst,11,14-DS,FDE,CYLY
Culture and Arts Officer III,18,10-EL,CRA,SCRAO
Customs Gatekeeper,3,14-DS,CSS,CGTK
Customs Operations Officer I,11,02-FS,CO,COP01
Customs Operations Officer II,13,02-FS,CO,COPO2
Customs Operations Officer III,16,02-FS,CO,COPO3
Customs Operations Officer IV,18,02-FS,CO,COPO4
Customs Operations Officer V,20,02-FS,CO,COPO5
Cutter Service Supervisor,24,05-TC,MTS,CUSUP
Cash Clerk I,4,02-FS,CH,CH1
Cash Clerk II,6,02-FS,CH,CH2
Cash Clerk III,8,02-FS,CH,CH3
Cashier I,10,02-FS,CH,CASH1
Cashier II,14,02-FS,CH,CASH2
Cashier III,18,02-FS,CH,CASH3
Cashier IV,22,02-FS,CH,CASH4
Cashier V,24,02-FS,CH,CASH5
Chauffeur I,5,05-TC,AEO,CFER1
Chauffeur II,6,05-TC,AEO,CFER2
Chauffeur III,7,05-TC,AEO,CFER3
Chauffeur IV,8,05-TC,AEO,CFER4
Clerk I,3,01-GA,CSET,CK1
Clerk II,4,01-GA,CSET,CK2
Clerk II,6,01-GA,CSET,CK3
Clerk IV,8,01-GA,CSET,CK4
Computer Operator I,7,03-PS,IT,COMPO1
Computer Operator II,9,03-PS,IT,COMPO2
Computer Operator III,12,03-PS,IT,COMPO3
Computer Operator IV,14,03-PS,IT,COMPO4
Carpenter Foreman,8,06-CT,BGHC,CPF
Carpenter General Foreman,10,06-CT,BGHC,CPGF
Carpenter I,3,06-CT,BGHC,CP1
Carpenter II,5,06-CT,BGHC,CP2
Chief Bookbinder,18,06-CT,PW,CBKD
Communications Equipment Operator I,4,05-TC,CDOR,CEO1
Communications Equipment Operator II,6,05-TC,CDOR,CEO2
Communications Equipment Operator II,9,05-TC,CDOR,CEO3
Communications Equipment Operator IV,11,05-TC,CDOR,CEO4
Communications Equipment Operator V,13,05-TC,CDOR,CEO5
Crafts and Trades Helper,1,06-CT,GUS,CTH
Dairy Plant,15,11-AA,AGD,DPS
Dangerous Drugs Regulation Officer I,11,09-MH,HS,DDRO1
Dangerous Drugs Regulation Officer II,15,09-MH,HS,DDRO2
Dangerous Drugs Regulation Officer III,18,09-MH,HS,DDRO3
Dangerous Drugs Regulation Officer IV,22,09-MH,HS,DDRO4
Dangerous Drugs Regulation Officer V,24,09-MH,HS,DDRO5
Day Care Worker I,6,07-SS,SWD,DCW1
Day Care Worker II,8,07-SS,SWD,DCW2
Deeds Registry Inspector I,16,11-AA,LREG,DRI1
Deeds Registry Inspector II,18,11-AA,LREG,DRI2
Deeds Registry Inspector III,21,11-AA,LREG,DRI3
Deeds Registry Inspector IV,23,11-AA,LREG,DRI4
Deeds Registry Inspector V,25,11-AA,LREG,DRI5
Defense Research Officer I,11,14-DS,DR,DRO1
Defense Research Officer II,15,14-DS,DR,DRO2
Dental Aide,4,09-MH,D,DTA
Dental Hygienist,10,09-MH,D,DTH
Dental Program Supervisor,22,09-MH,D,DENPS
Dentist I,14,09-MH,D,DENT1
Dentist II,17,09-MH,D,DENT2
Dentist III,20,09-MH,D,DENT3
Dentist IV,23,09-MH,D,DENT4
Dentist V,24,09-MH,D,DENT5
Dentist VI,26,09-MH,D,DENT6
Dentist VII,28,09-MH,D,DENT7
Department Assistant Secretary,29,18-ES,TMG,DASEC
Department Legislative Liaison Officer,29,18-ES,OM,DLLO
Department Legislative Liaison Specialist,22,01-GA,EJLS,DLLS
Department Secretary,31,18-ES,TMG,DESEC
Department Undersecretary,30,18-ES,TMG,DEUSEC
Deputy Administrator I,27,18-ES,OM,DTYAD1
Deputy Administrator II,28,18-ES,OM,DTYAD2
Deputy Administrator III,29,18-ES,OM,DTYAD3
Deputy Chief Public Attorney,29,15-LJ,PAT,DCPA
Deputy Clerk of the Electoral Tribunal,29,15-LJ,JA,DCET
Deputy Commissioner I,27,18-ES,OM,DCOM1
Deputy Commissioner II,28,18-ES,OM,DCOM2
Deputy Commissioner III,29,18-ES,OM,DCOM3
Deputy Commissioner of Customs,28,18-ES,OM,DCC
Deputy Commissioner of Internal Revenue,28,18-ES,OM,DCIR
Deputy Court Administrator of the Supreme Court,30,15-LJ,JA,DCASC
Deputy Director-General,30,18-ES,TMG,DDG
Deputy Executive Director I,25,18-ES,OM,DED1
Deputy Executive Director II,26,18-ES,OM,DED2
Deputy Executive Director III,27,18-ES,OM,DED3
Deputy Executive Director IV,28,18-ES,OM,DED4
Deputy Executive Director V,29,18-ES,OM,DED5
Deputy Executive Secretary,30,18-ES,CES,DEXS
Deputy Government Corporate Counsel,29,15-LJ,GCC,DGCC
Deputy National Statistician,29,03-PS,ST,DNS
Deputy Ombudsman,30,15-LJ,GI,DOMB
Deputy Press Secretary,30,18-ES,CES,DPSEC
Deputy Privacy Commissioner,30,18-ES,OM,DPRCOM
Deputy Register of Deeds I,19,11-AA,LREG,DRD1
Deputy Register of Deeds II,21,11-AA,LREG,DRD2
Deputy Register of Deeds III,23,11-AA,LREG,DRD3
Deputy Register of Deeds IV,25,11-AA,LREG,DRD4
Deputy Secretary of the Commission on Appointments,30,18-ES,TMG,DSECCA
Deputy Secretary of the House Electoral Tribunal,29,18-ES,TMG,DSECHET
Deputy Secretary of the Senate,30,18-ES,TMG,DSECS
Deputy Secretary of the Senate Electoral Tribunal,29,18-ES,TMG,DSECSET
Deputy Secretary-General of the House of Representatives,30,18-ES,TMG,DSECGEN
Deputy Special Prosecutor,29,15-LJ,SP,DSP
Deputy Treasurer of the Philippines,29,18-ES,OM,DTPH
Development Management Officer I,11,03-PS,DM,DMO1
Development Management Officer I,15,03-PS,DM,DMO2
Development Management Officer III,18,03-PS,DM,DMO3
Development Management Officer IV,22,03-PS,DM,DMO4
Development Management Officer V,24,03-PS,DM,DMO5
Dietary Adviser,22,09-MH,DT,DAD
Director I,25,18-ES,OM,DIR1
Director II,26,18-ES,OM,DIR2
Director III,27,18-ES,OM,DIR3
Director IV,28,18-ES,OM,DIR4
Director V,29,18-ES,OM,DIR5
Director VI,30,18-ES,OM,DIR6
Director-General,31,18-ES,TMG,DG
District Engineer,25,04-AE,EN,DENG
District Health Officer I,25,09-MH,M,DHO1
District Health Officer II,26,09-MH,M,DHO2
Docking and Rigging Foreman,8,06-CT,GUS,DRF
Dockman-Driver I,3,06-CT,GUS,DKD1
Dockman-Driver II,5,06-CT,GUS,DKD2
Dockman-Rigger I,2,06-CT,GUS,DKR1
Dockman-Rigger II,4,06-CT,GUS,DKR2
Document Examiner I,10,14-DS,FDE,DOCEX1
Document Examiner II,14,14-DS,FDE,DOCEX2
Document Examiner III,18,14-DS,FDE,DOCEX3
Document Examiner IV,22,14-DS,FDE,DOCEX4
Document Examiner V,24,14-DS,FDE,DOCEX5
Dormitory Attendant,3,17-MS,LDS,DORMA
Dormitory Manager I,9,17-MS,LDS,DORMG1
Dormitory Manager II,11,17-MS,LDS,DORMG2
Dormitory Manager III,15,17-MS,LDS,DORMG3
Dormitory Manager IV,18,17-MS,LDS,DORMG4
Draftsman I,6,04-AE,DF,DFM1
Draftsman II,8,04-AE,DF,DFM2
Draftsman III,11,04-AE,DF,DFM3
Draftsman IV,14,04-AE,DF,DFM4
Dredge Master I,13,04-AE,DO,DGM
Dredge Master II,17,04-AE,DO,DGM2
Dredge Master III,20,04-AE,DO,DGM3
Dredge Master IV,23,04-AE,DO,DGM4
Dredgeman Foreman,8,04-AE,DO,DGNF
Dredgeman I,3,04-AE,DO,DGN1
Dredgeman II,5,04-AE,DO,DGN2
Driving Skills Rater,8,05-TC,TDR,DSKR
Data Controller I,6,03-PS,IT,DCTL1
Data Controller II,8,03-PS,IT,DCTL2
Data Controller III,11,03-PS,IT,DCTL3
Data Controller IV,13,03-PS,IT,DCTL4
Data Entry Machine Operator I,6,03-PS,IT,DAMO1
Data Entry Machine Operator II,8,03-PS,IT,DAMO2
Data Entry Machine Operator II,11,03-PS,IT,DAMO3
Data Entry Machine Operator IV,13,03-PS,IT,DAMO4
Disbursing Officer I,6,02-FS,CH,DO1
Disbursing Officer II,8,02-FS,CH,DO2
Driver Courier I,4,05-TC,AEO,DRC1
Driver Courier II,5,05-TC,AEO,DRC2
Driver I,3,05-TC,AEO,DRV1
Driver II,4,05-TC,AEO,DRV2
Driver Mechanic,4,05-TC,AEO,DRVMECH
Economic Development Analyst,11,03-PS,ED,EDA
Economic Development Specialist I,13,03-PS,ED,EDS1
Economic Development Specialist II,16,03-PS,ED,EDS2
Economic Researcher,9,03-PS,EC,ECOR
Economist I,11,03-PS,EC,ECO1
Economist II,15,03-PS,EC,ECO2
Economist III,18,03-PS,EC,ECO3
Economist IV,22,03-PS,EC,ECO4
Economist V,24,03-PS,EC,ECO5
Ecosystems Management Specialist I,11,11-AA,EERM,ECOMS1
Ecosystems Management Specialist II,15,11-AA,EERM,ECOMS2
Education Program Specialist I,12,10-EL,ERPS,EPS1
Education Program Specialist II,16,10-EL,ERPS,EPS2
Education Program Supervisor,22,10-EL,ERPS,EPSVR
Education Research Assistant I,9,10-EL,ERPS,EDRA1
Education Research Assistant II,10,10-EL,ERPS,EDRA2
Education Supervisor I,19,10-EL,ERPS,ESUP1
Education Supervisor II,20,10-EL,ERPS,ESUP2
Election Assistant I,7,07-SS,EAD,EA1
Election Assistant II,9,07-SS,EAD,EA2
Election Field Officer,21,07-SS,EAD,EFO
Election Officer I,12,07-SS,EAD,EO1
Election Officer II,15,07-SS,EAD,EO2
Election Officer III,18,07-SS,EAD,EO3
Election Officer IV,21,07-SS,EAD,EO4
Election Precincts Analyst I,10,07-SS,EAD,EPA1
Election Precincts Analyst II,14,07-SS,EAD,EPA2
Electrical Inspector I,6,06-CT,BGHC,EI1
Electrical Inspector I,8,06-CT,BGHC,EI2
Electron Microscopist,19,13-MP,BL,EIROM
Electrotyper I,4,06-CT,PMO,ETYP1
Electrotyper II,6,06-CT,PMO,ETYP2
Electrotyper III,9,06-CT,PMO,ETYP3
Electrotyper IV,11,06-CT,PMO,ETYP4
Emigrant Services Officer I,11,07-SS,ES,ESO1
Emigrant Services Officer II,15,07-SS,ES,ESO2
Energy Regulation Assistant,8,11-AA,ER,ERA
Energy Regulation Officer I,11,11-AA,ER,ERO1
Energy Regulation Officer II,15,11-AA,ER,ERO2
Engineer I,12,04-AE,EN,ENG1
Engineer II,16,04-AE,EN,ENG2
Engineer II,19,04-AE,EN,ENG3
Engineer IV,22,04-AE,EN,ENG4
Engineer V,24,04-AE,EN,ENG5
Engineering Aide,4,04-AE,EN,ENGA
Engineering Assistant,8,04-AE,EN,ENGAS
Entomologist I,11,13-MP,Z,ENTO1
Entomologist II,15,13-MP,Z,ENTO2
Entomologist III,18,13-MP,Z,ENTO3
Environmental Management Researcher,9,11-AA,EERM,EMR
Environmental Management Specialist I,11,11-AA,EERM,EMS1
Environmental Management Specialist II,15,11-AA,EERM,EMS2
Equine Evaluator,5,08-IA,SDGR,EQE
Executive Assistant I,14,01-GA,EAS,EXA1
Executive Assistant II,17,01-GA,EAS,EXA2
Executive Assistant III,20,01-GA,EAS,EXA3
Executive Assistant IV,22,01-GA,EAS,EXA4
Executive Assistant V,24,01-GA,EAS,EXA5
Executive Assistant VI,25,01-GA,EAS,EXA6
Executive Clerk of Court I,26,15-LJ,JA,ECC1
Executive Clerk of Court II,27,15-LJ,JA,ECC2
Executive Clerk of Court III,28,15-LJ,JA,ECC3
Executive Clerk of Court IV,29,15-LJ,JA,ECC4
Executive Clerk of Court V,30,15-LJ,JA,ECC5
Executive Conciliator-Mediator,26,07-SS,LCMA,EXCOM
Executive Director I,26,18-ES,OM,EXED1
Executive Director II,27,18-ES,OM,EXED2
Executive Director III,28,18-ES,OM,EXED3
Executive Director IV,29,18-ES,OM,EXED4
Executive Director V,30,18-ES,OM,EXED5
Executive News Editor,24,08-IA,ID,EXNE
Executive Secretary,31,18-ES,CES,EXECS
Electrician Foreman D,9,06-CT,BGHC,EF
Electrician General Foreman,11,06-CT,BGHC,EGF
Electrician I,4,06-CT,BGHC,ELEC1
Electrician II,6,06-CT,BGHC,ELEC2
Electronics and Communications Equipment Technician I,6,05-TC,CDOR,ECET1
Electronics and Communications Equipment Technician II,8,05-TC,CDOR,ECET2
Electronics and Comm Equipment Technician III,11,05-TC,CDOR,ECET3
Electronics and Comm Equipment Technician IV,15,05-TC,CDOR,ECET4
Fabric Worker I,3,06-CT,BW,FABWK1
Fabric Worker II,5,06-CT,BW,FABWK2
Farm Foreman,6,11-AA,AGD,FAFM
Farm Superintendent I,11,11-AA,AGD,FAS1
Farm Superintendent II,15,11-AA,AGD,FAS2
Farm Superintendent III,18,11-AA,AGD,FAS3
Farm Supervisor,8,11-AA,AGD,FASU
Farm Worker I,2,11-AA,AGD,FAWK1
Farm Worker II,4,11-AA,AGD,FAWK2
Fiber Development Officer I,11,11-AA,FD,FIDO1
Fiber Development Officer II,15,11-AA,FD,FIDO2
Fiber Technician,6,11-AA,FD,FIT
Fidelity Bond Examiner I,10,02-FS,BFCP,FIBEX1
Fidelity Bond Examiner II,14,02-FS,BFCP,FIBEX2
Film Custodian I,4,08-IA,FC,FCD1
Film Custodian II,6,08-IA,FC,FCD2
Film Editor I,7,08-IA,FC,FED1
Film Editor II,9,08-IA,FC,FED2
Film Preview Assistant I,7,08-IA,FC,FIPA1
Film Preview Assistant II,9,08-IA,FC,FIPA2
Financial Claims Examiner I,10,02-FS,BFCP,FINCE1
Financial Claims Examiner II,14,02-FS,BFCP,FINCE2
Financial Claims Examiner III,18,02-FS,BFCP,FINCE3
Fingerprinting Aide,4,14-DS,FDE,FPTA
Fingerprinting Examiner I,7,14-DS,FDE,FPTEX1
Fingerprinting Examiner II,9,14-DS,FDE,FPTEX2
Fingerprinting Examiner III,11,14-DS,FDE,FPTEX3
Fingerprinting Examiner IV,15,14-DS,FDE,FPTEX4
Fingerprinting Examiner V,18,14-DS,FDE,FPTEX5
Fire Marshall I,18,14-DS,F,FM1
Fire Marshall II,22,14-DS,F,FM2
Firearms and Explosives Inspector I,6,14-DS,OMRR,FEI1
Firearms and Explosives Inspector II,8,14-DS,OMRR,FEI2
Firearms and Explosives Processor I,6,14-DS,OMRR,FEP1
Firearms and Explosives Processor II,8,14-DS,OMRR,FEP2
Firearms and Explosives Processor III,10,14-DS,OMRR,FEP3
Firearms and Explosives Processor IV,14,14-DS,OMRR,FEP4
Firearms and Explosives Production Coordinator,18,14-DS,OMRR,FEPC
Firefighter I,6,14-DS,F,FF1
Firefighter II,8,14-DS,F,FF2
Firefighter III,10,14-DS,F,FF3
Firefighter IV,14,14-DS,F,FF4
First Mate,20,05-TC,MTS,FM
Fish Port Supervisor,15,12-TT,FPM,FPSUP
Fisherman,3,11-AA,AQD,FISM
Fishing Regulations Officer I,11,11-AA,AQD,FIRO1
Fishing Regulations Officer II,15,11-AA,AQD,FIRO2
Floating Crane Master,10,05-TC,AEO,FLCM
Food Service Manager,22,17-MS,FOS,FOSM
Food Service Supervisor I,9,17-MS,FOS,FOSS1
Food Service Supervisor II,11,17-MS,FOS,FOSS2
Food Service Supervisor III,15,17-MS,FOS,FOSS3
Food Service Supervisor IV,18,17-MS,FOS,FOSS4
Food Technology I,10,09-MH,DT,FTEC1
Food Technology II,14,09-MH,DT,FTEC2
Food Technology III,18,09-MH,DT,FTEC3
Food-Drug Inspector,8,09-MH,HS,FD1
Food-Drug Regulation Officer I,11,09-MH,HS,FDRO1
Food-Drug Regulation Officer II,15,09-MH,HS,FDRO2
Food-Drug Regulation Officer III,18,09-MH,HS,FDRO3
Food-Drug Regulation Officer IV,22,09-MH,HS,FDRO4
Food-Drug Regulation Officer V,24,09-MH,HS,FDRO5
Foreign Affairs Adviser,22,16-FR,FS,FOAF1
Foreign Affairs Research Specialist I,11,16-FR,FAR,FOARS1
Foreign Affairs Research Specialist II,15,16-FR,FAR,FOARS2
"Foreign Service Officer, Class I",27,16-FR,FS,FSOC1
"Foreign Service Officer, Class II",26,16-FR,FS,FSOC2
"Foreign Service Officer, Class III",25,16-FR,FS,FSOC3
"Foreign Service Officer, Class IV",24,16-FR,FS,FSOC4
Foreign Service Staff Employee I,11,16-FR,FS,FSSE1
Foreign Service Staff Employee II,9,16-FR,FS,FSSE2
Foreign Service Staff Employee III,7,16-FR,FS,FSSE3
Foreign Service Staff Officer I,24,16-FR,FS,FSSO1
Foreign Service Staff Officer II,20,16-FR,FS,FSSO2
Foreign Service Staff Officer II,17,16-FR,FS,FSSO3
Foreign Service Staff Officer IV,13,16-FR,FS,FSSO4
"Foreign Trade Service Officer, Class I",27,16-FR,FTS,FTSOC1
"Foreign Trade Service Officer, Class II",26,16-FR,FTS,FTSOC2
"Foreign Trade Service Officer, Class III",25,16-FR,FTS,FTSOC3
"Foreign Trade Service Officer, Class IV",24,16-FR,FTS,FTSOC4
Foreign Trade Service Staff Officer,15,16-FR,FTS,FTSSO
Forest Management Specialist I,11,11-AA,FA,FMS1
Forest Management Specialist II,15,11-AA,FA,FMS2
Forest Ranger,4,11-AA,FA,FORA
Forest Technician I,6,11-AA,FA,FORT1
Forest Technician II,8,11-AA,FA,FORT2
Forester I,11,11-AA,FA,FORST1
Forester II,15,11-AA,FA,FORST2
Forester III,18,11-AA,FA,FORST3
Forester IV,22,11-AA,FA,FORST4
Forester V,24,11-AA,FA,FORST5
Foundry Foreman,9,06-CT,MW,FDRYF
Foundry General Foreman,11,06-CT,MW,FGENM
Foundry Worker I,4,06-CT,MW,FDRYW1
Foundry Worker II,6,06-CT,MW,FDRYW2
Freight Service Foreman,6,05-TC,FSCH,FSFM
Freight Service Supervisor I,10,05-TC,FSCH,FSFS1
Freight Service Supervisor II,13,05-TC,FSCH,FSFS2
Fumigation Assistant Supervisor,9,09-MH,PC,FUAS
Fumigation Supervisor,11,09-MH,PC,FUMS
Fumigator,4,09-MH,PC,FUM
Fumigator Foreman,6,09-MH,PC,FUMF
Financial Analyst I,11,02-FS,AC,FINA1
Financial Analyst II,15,02-FS,AC,FINA2
Financial Analyst III,18,02-FS,AC,FINA3
Financial Analyst IV,22,02-FS,AC,FINA4
Financial Analyst V,24,02-FS,AC,FINA5
Financial and Management Officer I,22,02-FS,MS,FINMO1
Financial and Management Oofficer II,24,02-FS,MS,FINMO2
Fiscal Clerk I,4,02-FS,AFE,FCK1
Fiscal Clerk II,6,02-FS,AFE,FCK2
Fiscal Clerk III,8,02-FS,AFE,FCK3
Fiscal Controller I,11,02-FS,AFE,FCT1
Fiscal Controller II,15,02-FS,AFE,FCT2
Fiscal Controller III,18,02-FS,AFE,FCT3
Fiscal Controller IV,22,02-FS,AFE,FCT4
Fiscal Controller V,24,02-FS,AFE,FCT5
Fiscal Examiner I,11,02-FS,AFE,FEX1
Fiscal Examiner II,15,02-FS,AFE,FEX2
Fiscal Examiner II,18,02-FS,AFE,FEX3
Fiscal Examiner IV,22,02-FS,AFE,FEX4
Fiscal Examiner V,24,02-FS,AFE,FEX5
GAD Specialist I,11,07-SS,GAD,GAD1
GAD Specialist II,15,07-SS,GAD,GAD2
GAD Specialist III,18,07-SS,GAD,GAD3
General Manager,30,18-ES,OM,GM
Geologic Aide,4,13-MP,G,GEOLA
Geologist I,11,13-MP,G,GEOL1
Geologist II,15,13-MP,G,GEOL2
Geophysicist I,11,13-MP,GP,GEOP1
Geophysicist II,15,13-MP,GP,GEOP2
Geophysicist III,18,13-MP,GP,GEOP3
Geophysicist IV,22,13-MP,GP,GEOP4
Geophysicist V,24,13-MP,GP,GEOP5
Government Corporate Attorney I,25,15-LJ,GCC,GOVCA1
Government Corporate Attorney II,26,15-LJ,GCC,GOVCA2
Government Corporate Attorney III,27,15-LJ,GCC,GOVCA3
Government Corporate Attorney IV,28,15-LJ,GCC,GOVCA4
Government Corporate Counsel,30,15-LJ,GCC,GOVCOR
Graft Investigation and Prosecution Officer I,25,15-LJ,GI,GIPO1
Graft Investigation and Prosecution Officer II,26,15-LJ,GI,GIPO2
Graft Investigation and Prosecution Officer III,27,15-LJ,GI,GIPO3
Graft Investigation and Prosecution Officer IV,28,15-LJ,GI,GIPO4
Graft Investigation Officer I,26,15-LJ,GI,GIO1
Graft Investigation Officer II,27,15-LJ,GI,GIO2
Graft Investigation Officer III,28,15-LJ,GI,GIO3
Graft Prevention and Control Officer I,11,07-SS,GPC,GPCO1
Graft Prevention and Control Officer II,15,07-SS,GPC,GPCO2
Graft Prevention and Control Officer III,18,07-SS,GPC,GPCO3
Graft Prevention and Control Officer IV,22,07-SS,GPC,GPCO4
Graft Prevention and Control Officer V,24,07-SS,GPC,GPC05
Guesthouse Caretaker,2,17-MS,LDS,GUESTC
Guidance Coordinator I,14,10-EL,SCUT,GCOOR1
Guidance Coordinator II,15,10-EL,SCUT,GCOOR2
Guidance Coordinator III,16,10-EL,SCUT,GCOOR3
Guidance Counselor I,11,10-EL,SCUT,GUIDC1
Guidance Counselor II,12,10-EL,SCUT,GUIDC2
Guidance Counselor III,13,10-EL,SCUT,GUIDC3
Guidance Services Associate I,12,10-EL,GS,GSA1
Guidance Services Associate II,14,10-EL,GS,GSA2
Guidance Services Specialist I,16,10-EL,GS,GSS1
Guidance Services Specialist II,18,10-EL,GS,GSS2
Guidance Services Specialist III,20,10-EL,GS,GSS3
Guidance Services Specialist IV,22,10-EL,GS,GSS4
Guidance Services Specialist V,24,10-EL,GS,GSS5
Handicraft Worker I,3,06-CT,BW,HANDW1
Handicraft Worker II,5,06-CT,BW,HANDW2
Handicraft Worker III,8,06-CT,BW,HANDW3
Harbor Operations Assistant,10,05-TC,MTS,HROA
Head Civil Service Field Officer,26,01-GA,HRM,HCSFO
Head Executive Assistant,27,01-GA,EAS,HEA
Head Pressman,13,06-CT,PMO,HPMAN
Head Teacher I,14,10-EL,SCUT,HTEACH1
Head Teacher II,15,10-EL,SCUT,HTEACH2
Head Teacher III,16,10-EL,SCUT,HTEACH3
Head Teacher IV,17,10-EL,SCUT,HTEACH4
Head Teacher V,18,10-EL,SCUT,HTEACH5
Head Teacher VI,19,10-EL,SCUT,HTEACH6
Health Education and Promotion Adviser,22,09-MH,HEP,HEPA
Health Education and Promotion Officer I,10,09-MH,HEP,HEPO1
Health Education and Promotion Officer II,14,09-MH,HEP,HEPO2
Health Education and Promotion Officer III,18,09-MH,HEP,HEPO3
Health Education and Promotion Officer IV,22,09-MH,HEP,HEPO4
Health Education and Promotion Officer V,24,09-MH,HEP,HEPO5
Health Physicist I,15,13-MP,P,HPHY1
Health Physicist II,18,13-MP,P,HPHY2
Health Physicist III,22,13-MP,P,HPHY3
Health Physicist IV,24,13-MP,P,HPHY4
Health Physics Technician,6,13-MP,P,HPT
Health Program Officer I,11,09-MH,HPD,HPO1
Health Program Officer II,15,09-MH,HPD,HPO2
Health Program Researcher,9,09-MH,HPD,HPRA
Health Program Researcher Assistant,7,09-MH,HPD,HPR
Heavy Equipment Operator I,4,05-TC,AEO,HEO1
Heavy Equipment Operator II,6,05-TC,AEO,HEO2
Heavy Equipment Operator III,9,05-TC,AEO,HEO3
Historic Sites Development Officer I,11,10-EL,HSD,HISDO1
Historic Sites Development Officer II,15,10-EL,HSD,HISDO2
History Researcher I,10,10-EL,HR,HTRYR1
History Researcher II,14,10-EL,HR,HTRYR2
Home Management Specialist I,11,07-SS,HM,HOMS1
Home Management Specialist II,15,07-SS,HM,HOMS2
Home Management Technologist,10,07-SS,HM,HOMT
Hospital Administration Specialist,22,09-MH,HA,HAS
Hospital Housekeeper,8,17-MS,LDS,HHKPER
Household Attendant I,3,17-MS,LDS,HHA1
Household Attendant II,5,17-MS,LDS,HHA2
Household Attendant III,8,17-MS,LDS,HHA3
Household Manager,10,17-MS,LDS,HHM
Houseparent I,4,17-MS,LDS,HP1
Houseparent II,6,17-MS,LDS,HP2
Houseparent III,9,17-MS,LDS,HP3
Houseparent IV,11,17-MS,LDS,HP4
Housing and Homesite Regulation Assistant,8,07-SS,HHR,HHRA
Housing and Homesite Regulation Officer I,11,07-SS,HHR,HHRO1
Housing and Homesite Regulation Officer II,13,07-SS,HHR,HHRO2
Housing and Homesite Regulation Officer II,16,07-SS,HHR,HHRO3
Housing and Homesite Regulation Officer IV,19,07-SS,HHR,HHRO4
Housing and Homesite Regulation Officer V,22,07-SS,HHR,HHRO5
Housing and Homesite Regulation Officer VI,24,07-SS,HHR,HHRO6
